Budget,Free Time,Mode of Transportation,Power to go far,Workload,Company,Hunger,Next Destination,Food Place
High,Limited,Private,Far,Busy,None,Very,Outside UP,Katip or Technohub
Low,Super Free,Walk,Far,Busy,None,Not Really,Outside UP,Food Stalls or Canteen
Low,Super Free,Public,Average,Busy,None,Just Right,Near or at DCS,New CASAA or Food Trucks
Med,Just Enough,Walk,Average,Manageable,Few,Just Right,A bit far from DCS,Food Stalls or Canteen
Low,Just Enough,Public,Average,Busy,Many,Not Really,Near or at DCS,DCS
Low,Just Enough,Walk,Near,Manageable,None,Just Right,Near or at DCS,DCS
Low,Limited,Walk,Near,Manageable,Few,Very,Near or at DCS,Food Stalls or Canteen
Low,Limited,Public,Average,Busy,Many,Very,Near or at DCS,Area 2 or SC
Med,Just Enough,Public,Average,Manageable,Few,Just Right,Near or at DCS,Food Stalls or Canteen
Low,Super Free,Walk,Near,Busy,Few,Just Right,Near or at DCS,Food Stalls or Canteen
Low,Just Enough,Walk,Far,Busy,Few,Just Right,Outside UP,Area 2 or SC
Low,Just Enough,Public,Near,Busy,None,Very,Far from DCS,Area 2 or SC
Low,Just Enough,Public,Average,Busy,Few,Just Right,Near or at DCS,DCS
Med,Limited,Walk,Near,Busy,None,Just Right,A bit far from DCS,Food Stalls or Canteen
Low,Limited,Walk,Near,Manageable,Few,Just Right,Near or at DCS,DCS
Low,Just Enough,Public,Near,Busy,Few,Very,Outside UP,Katip or Technohub
High,Super Free,Public,Near,None,Many,Not Really,A bit far from DCS,Food Stalls or Canteen
Med,Just Enough,Walk,Far,Busy,None,Very,Near or at DCS,DCS
Low,Super Free,Walk,Average,Busy,Few,Not Really,Near or at DCS,DCS
Low,Super Free,Walk,Near,Manageable,Many,Very,Near or at DCS,Food Stalls or Canteen
Med,Just Enough,Public,Average,Busy,None,Very,Near or at DCS,Area 2 or SC
Low,Just Enough,Walk,Near,Busy,Few,Not Really,Near or at DCS,Food Stalls or Canteen
Low,Just Enough,Public,Near,Busy,Few,Very,Near or at DCS,Food Stalls or Canteen
Med,Super Free,Private,Average,None,Few,Not Really,Near or at DCS,Maginhawa
Med,Just Enough,Public,Far,Busy,Few,Just Right,A bit far from DCS,Area 2 or SC
Low,Super Free,Public,Near,Busy,Few,Very,Far from DCS,Food Stalls or Canteen
Med,Super Free,Public,Near,Manageable,Few,Very,Near or at DCS,New CASAA or Food Trucks
High,Super Free,Public,Far,Manageable,Few,Just Right,Outside UP,Katip or Technohub
Med,Just Enough,Walk,Average,Manageable,Few,Just Right,Near or at DCS,New CASAA or Food Trucks
Med,Just Enough,Public,Average,Manageable,Few,Not Really,Near or at DCS,Food Stalls or Canteen
Med,Limited,Walk,Average,Manageable,Few,Just Right,A bit far from DCS,Katip or Technohub
Low,Just Enough,Walk,Near,Manageable,Many,Just Right,Near or at DCS,DCS
Med,Just Enough,Private,Average,Busy,Many,Just Right,A bit far from DCS,New CASAA or Food Trucks
Med,Just Enough,Public,Far,Busy,Many,Just Right,Near or at DCS,Katip or Technohub
Med,Super Free,Walk,Near,Manageable,Few,Not Really,Near or at DCS,DCS
Med,Just Enough,Walk,Average,Busy,Few,Just Right,Far from DCS,Area 2 or SC
High,Super Free,Private,Far,None,Few,Very,Near or at DCS,Katip or Technohub
Med,Just Enough,Walk,Far,Busy,Many,Just Right,A bit far from DCS,New CASAA or Food Trucks
High,Just Enough,Walk,Far,Manageable,None,Very,Near or at DCS,Katip or Technohub
Med,Limited,Walk,Far,Busy,Many,Very,A bit far from DCS,New CASAA or Food Trucks
Med,Super Free,Public,Far,Manageable,Few,Just Right,Near or at DCS,Katip or Technohub
Med,Limited,Public,Average,Busy,Few,Just Right,Far from DCS,Area 2 or SC
Low,Just Enough,Public,Average,Manageable,None,Just Right,Near or at DCS,New CASAA or Food Trucks
Med,Just Enough,Walk,Far,Manageable,Few,Not Really,Near or at DCS,DCS
Low,Limited,Public,Average,Manageable,None,Just Right,Near or at DCS,Area 2 or SC
Med,Just Enough,Walk,Near,Busy,None,Just Right,Near or at DCS,Food Stalls or Canteen
Low,Super Free,Public,Average,None,None,Very,Near or at DCS,Food Stalls or Canteen
Low,Limited,Walk,Average,Manageable,Few,Just Right,Near or at DCS,Food Stalls or Canteen
Med,Just Enough,Walk,Far,Manageable,Many,Just Right,A bit far from DCS,Area 2 or SC
Med,Limited,Public,Near,Busy,Many,Just Right,A bit far from DCS,New CASAA or Food Trucks